Name,التقنيات,الرخصة,الشعار,الكود المصدري,الوصف بالإنجليزية,الوصف بالعربية,حالة البيانات,حالة المشروع,روابط,زمن آخر تعديل,مسؤول البيانات,مفتوح المصدر,نوع المبادرة,وسوم
Ahkam-Al-Tajweed - أحكام التجويد,"Deep Learning, Documents",NONE ❌,klipartz.com.png,https://github.com/malayyoub/Ahkam-Al-Tajweed,This project aims to develop a deep learning-based system to automatically determine the correct application of basic Quranic recitation (Tajweed) rules. The repository includes data and resources related to this objective.," يهدف هذا المشروع إلى تطوير نظام يعتمد على التعلم العميق لتحديد التطبيق الصحيح لقواعد التجويد الأساسية في تلاوة القرآن الكريم. يتضمن المشروع بيانات ومصادر متعلقة بهذا الهدف.",اكتمل ✅,ميت ☠️,https://www.researchgate.net/publication/327869102_A_dataset_of_audio_recordings_by_male_reciters_representing_correctincorrect_applications_of_basic_Quranic_recitation_rules,١ نوفمبر ٢٠٢٤ ٨:٣٤ م,Abd El-Rahman Bayoumi,Yes,مستندات ووثائق,"القرآن الكريم, تجويد"
othman,"Python, Search engine",رخصة وقف من أعجوبة,com.webp,https://github.com/ojuba-org/othman,"Othman Electronic Quran is a display of the Quranic text as it was written during the time of Uthman ibn Affan, may Allah be pleased with him, with fully accurate diacritics.",مصحف عثمان الإلكتروني وهو عرض للنص القرآني كما كتب في عهد عثمان بن عفان رضي الله عنه مضبوطا ومشكولا,اكتمل ✅,متوقف صيانته 😑,,٢٩ أكتوبر ٢٠٢٤ ١١:٠٦ م,Abd El-Rahman Bayoumi,Yes,"برنامج سطح المكتب 💻, تطبيق ويب",القرآن الكريم
Quran-App-Data,"Dataset, JSON, SQL",NONE ❌,book-stack.png,https://github.com/Mohamed-Nagdy/Quran-App-Data,"The ""Quran-App-Data"" project provides a comprehensive collection of data and resources for Quran applications and websites, including Hadith books in JSON format, complete JSON files for all Quranic Surahs, ordered images of all Quran pages, and JSON files containing all Azkar, the 99 names of Allah, and the names of Prophet Muhammad ﷺ.","يقدم مشروع ""Quran-App-Data"" مجموعة شاملة من البيانات والموارد لتطبيقات ومواقع القرآن الكريم، تشمل كتب الحديث بصيغة JSON، وملفات JSON لسور القرآن كاملة، وصور مرتبة لجميع صفحات المصحف، بالإضافة إلى ملفات JSON تحتوي على جميع الأذكار، وأسماء الله الحسنى، وأسماء النبي محمد ﷺ.",اكتمل ✅,نشط 🚀,https://youtu.be/7VvlBOINfjQ?si=kNTGyNL-31xSs5df,١ نوفمبر ٢٠٢٤ ٩:٠٨ م,Abd El-Rahman Bayoumi,Yes,"قاعدة بيانات, مصادر","أسماء الله الحسنى, أسماء النبي محمد ﷺ, الأذكار, الحديث النبوي, القرآن الكريم"
الْمُعْجَم الترددي لِلْحُرُوف الْعَرَبِيَّةِ فِي الْقُرْآنِ الْكَرِيمِ,"CSS, HTML, JavaScript, ReactJS",NONE ❌,img1.png,https://github.com/moroclash/Visualization-Of-Quran,"An open-source tool designed to visualize the frequencies of characters and words in the Quran. It allows users to apply multiple filters based on Surah, Ayah, and characters, with the ability to customize the character system according to their needs."," أداة مفتوحة المصدر تهدف إلى تصور ترددات الحروف والكلمات في القرآن الكريم. تتيح للمستخدمين تطبيق فلاتر متعددة بناءً على السورة، الآية، والحروف، مع إمكانية تخصيص نظام الحروف وفقًا لاحتياجاتهم.",اكتمل ✅,متوقف صيانته 😑,https://moroclash.github.io/Visualization-Of-Quran/,١ نوفمبر ٢٠٢٤ ٩:٢٤ م,Abd El-Rahman Bayoumi,Yes,تطبيق ويب,"القرآن الكريم, تكرار الحرف, تكرار الكلمة"
tarteel-ml,"Artificial intelligence, Dataset, Jupyter Notebook, Machine learning, Python, Speech recognition",MIT,230x0w%201.webp,https://github.com/TarteelAI/tarteel-ml,"An open-source project utilizing machine learning to recognize Quranic recitation through voice. The project aims to support the analysis and improvement of Quran recitation using AI, providing tools for verse recognition and error detection.",مشروع مفتوح المصدر يستخدم تقنيات تعلم الآلة للتعرف على تلاوة القرآن الكريم من خلال الصوت. يهدف المشروع لدعم تحليل وتحسين تلاوة القرآن باستخدام الذكاء الاصطناعي وتطوير أدوات للتعرف على الآيات والأخطاء.,اكتمل ✅,ميت ☠️,,١ نوفمبر ٢٠٢٤ ٨:٤١ م,Abd El-Rahman Bayoumi,Yes,سكريبت برمجي,القرآن الكريم
أفكار لمشاريع,,,,,,,احتاج مساعدة 🚨,,,١٣ فبراير ٢٠٢٦ ١:٢٤ م,,No,,
Iqra from Crescent Labs,"CSS, Flask, HTML, Java, JavaScript, ReactJS, Swift","GPL-3.0 License, MIT",21231733_(1).png,https://github.com/Crescent-Labs,"Iqra is a tool meant to allow Muslims to search the Quran using speech recognition. There are also repos for the website, the Android client, and iOS client. The website's back-end is a Flask server, and the front-end is React combined with Redux. Mobile apps are built using native technologies.","إقرأ هو أداة تهدف إلى تمكين المسلمين من البحث في القرآن باستخدام التعرف على الصوت. تتوفر أيضًا مستودعات للموقع الإلكتروني، وتطبيق الأندرويد، وتطبيق نظام iOS. يعتمد الموقع في خلفيته على خادم مبني بإطار ""فلاسْك""، بينما تُبنى الواجهة الأمامية باستخدام مكتبة ""ريآكت"" مع ""ريدوكس"". وتُطوَّر تطبيقات الهاتف المحمول باستخدام تقنيات برمجية أصلية لكل نظام مثل الجافا للأندرويد.",اكتمل ✅,ميت ☠️,"https://github.com/Crescent-Labs/iqra-web, https://github.com/Crescent-Labs/iqra-ios, https://github.com/Crescent-Labs/iqra-android, https://github.com/Crescent-Labs/iqra-api",٥ نوفمبر ٢٠٢٤ ٥:٣٧ م,محمد الصوالحي,Yes,"RESTful API, تطبيق iOS, تطبيق أندرويد","أصوات, القرآن الكريم"
Ayaaty,"CSS, Java, JavaFX",MIT,,https://github.com/YassineLafryhi/Ayaaty,"A JAVA desktop application to listen to quran, show quranic supplications and Dhikr Install the fonts, which are located in /fonts/. ",تطبيق سطح مكتب بلغة JAVA للاستماع إلى القرآن، وعرض الأدعية القرآنية والذكر. قم بتثبيت الخطوط الموجودة في /fonts/.,اكتمل ✅,متوقف صيانته 😑,,٢ نوفمبر ٢٠٢٤ ٢:٥٧ م,محمد الصوالحي,Yes,برنامج سطح المكتب 💻,"أذكار والمساء, الأذكار, القرآن الكريم"
قاعدة بيانات للقرآن الكريم SQLite,"Database, Dataset, SQLite",MIT,,https://github.com/bilalbentoumi/qurandatabase,"SQLite database for the Holy Quran. Containing tables for the chapters and the ayat (verses). It contains information like the type of the verse and chapter, the count of verses in a chapter and more other data.",قاعدة بيانات للقرآن الكريم فيها السور والآيات وبيانات أخرى مثل نوع السورة مدنية أم مكية ونوع الآية وعدد آيات السورة وغيرها من البيانات.,اكتمل ✅,قيد الصيانة 🛠️,,٨ نوفمبر ٢٠٢٤ ٣:٤٨ م,محمد الصوالحي,Yes,قاعدة بيانات,"إسلام, القرآن الكريم, تعليم, تقنية, قاعدة بيانات"
Pray Times - حساب مواقيت الصلاة,"C#, C++, Java, JavaScript, Objective-C, PHP, Python",GNU LGPL,Masjid-art.jpg,http://praytimes.org/,"An open-source project that provides accurate prayer times calculation worldwide. It includes various features to adjust prayer times based on geographic location and accommodates different Islamic schools of thought, with libraries available in multiple programming languages.",موقع http://praytimes.org/ هو مشروع مفتوح المصدر يقدم حسابات لمواقيت الصلاة للمسلمين حول العالم، ويشمل عدة ميزات لضبط أوقات الصلاة حسب المواقع الجغرافية المختلفة، مع مراعاة الفروق المذهبية المختلفة، ومتوفر مكتبات برمجية للغات مختلفة.,اكتمل ✅,نشط 🚀,,٢٥ أكتوبر ٢٠٢٤ ٢:٥٣ م,Abd El-Rahman Bayoumi,Yes,مكتبة برمجية,مواقيت الصلاة 🕋
adhan.py مكتبة مواقيت الصلاة الإسلامية في بايثون,Python,GNU LGPL,Tajme3ah_Images_(1).png,https://github.com/hayalasalah/adhan.py,adhan.py is an open-source Python library for calculating accurate Islamic prayer times. It enables developers to retrieve prayer times based on geographic location and different Islamic jurisprudence preferences.,مكتبة Python مفتوحة المصدر لحساب أوقات الصلاة بدقة. تتيح للمطورين الوصول إلى مواقيت الصلاة وفقًا للموقع الجغرافي وتفضيلات المذاهب الإسلامية المختلفة.,اكتمل ✅,متوقف صيانته 😑,https://pypi.org/project/adhan/,٢٥ أكتوبر ٢٠٢٤ ٢:٥٨ م,Abd El-Rahman Bayoumi,Yes,مكتبة برمجية,مواقيت الصلاة 🕋
Adhan,"C, C#, Dart, Golang, Java, JavaScript, Kotlin, Python, Rust, Swift",MIT,Tajme3ah_Images_(1)%201.png,https://github.com/batoulapps/Adhan,Adhan is a well tested and well documented library for calculating Islamic prayer times implemented in different languages and platforms.,الأذان هو مكتبة مجربة وموثقة بشكل جيد لحساب أوقات الصلاة الإسلامية، وتم تنفيذها في لغات ومنصات مختلفة.,اكتمل ✅,نشط 🚀,,٢٣ أكتوبر ٢٠٢٤ ١٠:٠٠ م,Abd El-Rahman Bayoumi,Yes,مكتبة برمجية,"إسلام, تاريخ وزمن, مواقيت الصلاة 🕋"
salah,Rust,MIT,Tajme3ah_Images_(1)%202.png,https://github.com/insha/salah,"An open-source library written in Rust for calculating Islamic prayer times. It offers accurate prayer times for any geographical location, considering the differences among Islamic schools of thought.",مكتبة مفتوحة المصدر مكتوبة بلغة Rust لحساب مواقيت الصلاة الإسلامية. توفر دقة في حساب أوقات الصلاة لجميع المواقع الجغرافية، مع مراعاة اختلافات المذاهب الإسلامية.,اكتمل ✅,نشط 🚀,https://crates.io/crates/salah,٢٤ أكتوبر ٢٠٢٤ ١٢:٠٠ ص,Abd El-Rahman Bayoumi,Yes,مكتبة برمجية,مواقيت الصلاة 🕋
Masjid Times,"CSS, JavaScript, PHP",NONE ❌,Tajme3ah_Images_(1)%203.png,https://github.com/meltuhamy/masjid-times,"An open-source prayer times application that provides accurate prayer times by utilizing data from the user's local mosque, along with support for prayer reminders.",تطبيق مفتوح المصدر لعرض مواقيت الصلاة، يهدف إلى توفير أوقات دقيقة للصلاة من خلال استخدام بيانات المسجد المحلي للمستخدم، مع دعم لإشعارات تذكير الصلاة.,اكتمل ✅,ميت ☠️,,٢٤ أكتوبر ٢٠٢٤ ١٢:٠٤ ص,Abd El-Rahman Bayoumi,Yes,تطبيق ويب,مواقيت الصلاة 🕋
تطبيق مواقيت الصلاة في بلفاست ولندن (Belfast Prayer Times),"Angular, Ionic, TypeScript",GPL-3.0 License,Tajme3ah_Images_(1)%204.png,https://github.com/meltuhamy/belfastsalah,"A simple open-source prayer times application for Android and iOS users in Belfast and London. It displays daily prayer times with reminders for upcoming prayers, featuring a clean design and automatic night mode.",تطبيق بسيط مفتوح المصدر لمواقيت الصلاة مخصص لمستخدمي أندرويد وiOS في مدينتي بلفاست ولندن. يعرض أوقات الصلاة اليومية مع إمكانية التذكير بوقت الصلاة القادمة، ويتميز بتصميم بسيط ووضع ليلي تلقائي.,اكتمل ✅,متوقف صيانته 😑,,٢ نوفمبر ٢٠٢٤ ١:٥٨ م,Abd El-Rahman Bayoumi,Yes,"تطبيق iOS, تطبيق أندرويد",مواقيت الصلاة 🕋
Next Prayer,"C, C++, Linux, Python",GPL-3.0 License,Tajme3ah_Images_(1)%205.png,https://github.com/AbdeltwabMF/nxprayer,"Islamic prayer reminder, for your status bar and/or scripts. It displays the next prayer time and sends a notification when it's time for a prayer. It also shows the remaining time until the next prayer",تطبيق تذكير بمواقيت الصلاة الإسلامية، مصمم ليعمل على شريط الحالة أو/و في السكربتات. يعرض وقت الصلاة القادمة ويرسل إشعارًا إذا حان وقت الصلاة. كما يعرض الوقت المتبقي حتى موعد الصلاة التالية,اكتمل ✅,نشط 🚀,,٢ نوفمبر ٢٠٢٤ ١:٥٨ م,Abd El-Rahman Bayoumi,Yes,"CLI, برنامج سطح المكتب 💻",مواقيت الصلاة 🕋
Mosque Prayer Display Screen (شاشة عرض مواقيت الصلاة للمسجد),"Next.JS, Tailwind CSS, TypeScript",NONE ❌,126960062.png,https://github.com/MosqueOS/Mosque-Prayer-Display-Screen,An open-source application that allows mosques to display prayer times on screens for worshipers. It also functions as an offline progressive web app compatible with any modern web browser.,تطبيق مفتوح المصدر يتيح للمساجد عرض مواقيت الصلاة على شاشات للمصلين، ويعمل أيضًا كتطبيق ويب تقدمي يمكن استخدامه دون اتصال بالإنترنت على أي متصفح حديث.,اكتمل ✅,نشط 🚀,"https://mosque-prayer-display-screen.vercel.app/, https://discord.gg/CG7frj2",٢٣ أكتوبر ٢٠٢٤ ١١:٥٣ م,Abd El-Rahman Bayoumi,Yes,تطبيق ويب,مواقيت الصلاة 🕋
Azkar - أذكار,"CSS, Java, JavaFX, SQLite",MIT,Logo_(Pattern).png,https://github.com/AbdelrahmanBayoumi/Azkar-App,"Desktop Application 💻 for Calculating Muslim prayer times 🕌 , Morning and Nights Azkar 🤲 with notification for random Azkar that pops-up in specific time.",برنامج لسطح المكتب 💻 يساعدك على: معرفة مواقيت الصلاة 🕌، قراءة أذكار الصباح و المساء مع التذكير بها 🤲، ظهور إشعارات بذكر او دعاء عشوائي كل فترة محددة 💬.,اكتمل ✅,نشط 🚀,"https://azkar-site.web.app/, https://sourceforge.net/projects/azkar/",١ نوفمبر ٢٠٢٤ ٩:٠٢ م,Abd El-Rahman Bayoumi,Yes,برنامج سطح المكتب 💻,"أذكار والمساء, الأذكار, مواقيت الصلاة 🕋"
مكتبة الأدوات الإسلامية ITL,"C, Java, Objective-C",GNU LGPL,book%202.png,https://github.com/arabeyes-org/ITL,"ITL (Islamic Tools Library) is an open-source library providing various Islamic computational tools, including prayer time calculations, Qibla direction determination, Hijri calendar functions, and other functionalities to support Islamic applications.",مكتبة ITL (Islamic Tools Library) هي مكتبة برمجية مفتوحة المصدر تقدم مجموعة من الأدوات الحسابية الإسلامية، بما في ذلك حساب مواقيت الصلاة، وتحديد اتجاه القبلة، والتقويم الهجري، والعديد من الوظائف الأخرى لدعم التطبيقات الإسلامية.,اكتمل ✅,ميت ☠️,"https://github.com/fikr4n/itl-java, https://github.com/batoulapps/BAPrayerTimes, https://github.com/arabeyes-org/ITL-ports",٢٥ أكتوبر ٢٠٢٤ ٣:٣٤ م,Abd El-Rahman Bayoumi,Yes,مكتبة برمجية,"تحديد القبلة, حساب التاريخ الهجري, مواقيت الصلاة 🕋"
pyIslam - مكتبة إسلامية برمجية بلغة بايثون,Python,GNU LGPL,book%203.png,https://github.com/abougouffa/pyIslam,"pyIslam is an open-source Python library that provides tools for calculating prayer times, determining the Qibla direction, converting dates between Gregorian and Hijri, and calculating Zakat and inheritance (Mirath).",مكتبة pyIslam هي مكتبة برمجية مفتوحة المصدر بلغة بايثون تقدم أدوات لحساب أوقات الصلاة، تحديد اتجاه القبلة، تحويل التواريخ بين الميلادي والهجري، بالإضافة إلى حساب الزكاة والمواريث.,اكتمل ✅,نشط 🚀,,٤ نوفمبر ٢٠٢٤ ٨:١٢ م,Abd El-Rahman Bayoumi,Yes,مكتبة برمجية,"التقويم الهجري, تحديد القبلة, حساب التاريخ الهجري, حساب الزكاة, حساب الميراث, مواقيت الصلاة 🕋"
Tanafaso,Flutter,,,https://github.com/challenge-azkar/tanafaso-frontend,A Flutter application for Muslims that help them challenge and motivate themselves and their friends to read Azkar in a fun way. On Play Store & On App Store There are a lot of ways you can contribute to this project.,,تحت الانتظار ⌛,متوقف صيانته 😑,,٢٩ مايو ٢٠٢٦ ١٢:٤٢ ص,MohammedAnwer,Yes,"تطبيق iOS, تطبيق أندرويد",
BoycottFrensh,,,,https://github.com/AhmedAshrafAZ/BoycottFrench,,"An extension that helps Muslims boycott French products on E-commerce websites. This is an extension that acts as a look-up of the top French brands, whenever the user opens a page of French product, the extension will automatically warn the user so he/she can look for alternatives.",تحت الانتظار ⌛,,,٢٨ أبريل ٢٠٢٦ ١١:١٩ م,MohammedAnwer,No,,
IslamBot,,,,https://github.com/galacticwarrior9/IslamBot,,"An Islamic bot for Discord with the following features: Qur'an, with support for 100+ translations. Tafsir, with 9 available in English and 37 in Arabic. Hadith in English and Arabic, from sunnah.com. Prayer times for any location in the world, with the ability to set reminders and change the calculation method.",تحت الانتظار ⌛,,,٢٨ أبريل ٢٠٢٦ ١١:١٩ م,MohammedAnwer,No,,
Muslim-App (Daily Muslim's Fortress App),,,,https://github.com/choubari/Muslim-App,The app is available only in Arabic but I'm planning to release an English version very soon. Prayer Times (of your current location) Morning&Evening Remembrance Remembrance Names of Allah Importance of Dhikr Tally Counter Qibla Direction Zakat Calculator Islamic Wallpapers Daily Notifications App Widget Light & Dark Themes and other features will be added on the next updates ...,,تحت الانتظار ⌛,,,٢٨ أبريل ٢٠٢٦ ١١:١٨ م,MohammedAnwer,No,,
Iftar CLI,JavaScript,GPL-3.0 License,,https://github.com/eneserdogan/iftar,Iftar CLI allows a quick and easy prayer times in the command line,,احتاج مساعدة 🚨,ميت ☠️,,٨ نوفمبر ٢٠٢٤ ١٠:١٧ م,Omar Seifelnasr,Yes,CLI,مواقيت الصلاة 🕋
"KhattSeen خطسين ",,,,https://khatt.org/,KhattSeen: Arabic Mathematical Notation Typesetting System,خط سين: نظام تنضيد (كتابة) الرياضيات بالعربية Khatt.Seen: Arabic Mathematical Notation Typesetting System أدخل أوامر هنا: الصور الناتجة عن نظام خط.س مرخصة تحت الملكية العامة. Images rendered by Khatt.Seen are under public domain license.,قيد العمل 💪🏻,,,٩ نوفمبر ٢٠٢٤ ١:٢٤ ص,Omar Seifelnasr,No,أداة تنضيد,"خط, دعم الرياضيات بالعربية"
MathJax Arabic Extension,,,,https://github.com/OmarIthawi/arabic-mathjax,"This is an extension to MathJax (v2.5+), that provides basic Arabic support to MathJax. The extension so far only supports TeX input with HTML-CSS output. However, support to other input and output jaxes is possible. It provides the following: Flip the Equation and render it the Right-to-left (RTL) way!",,تحت الانتظار ⌛,,,٢٨ أبريل ٢٠٢٦ ١١:١٨ م,MohammedAnwer,No,,
mostalah مصطلح aosus-dictionary,"CSS, JavaScript, Vue",GPL-3.0 License,,https://github.com/aosus/arabic-tech-dictionary/,,"يحتوي هذا المشروع على المصطلحات التقنية الإنجليزية وما يقابلها في اللغة العربية، وذلك بقصد المساعدة في تعريب التوثيقات الخاصة بكافة التقنيات المتعلقة بعلوم الحاسوب. قريبا : SQL, XML, HTML يعاني المحتوى العربي من نقص فادح خصوصا عندما يتعلق الأمر بمجال البرمجة وعلوم الحاسوب ولذلك ارتأينا أن نقوم بالمبادرة وأن نبدأ في توفير ترجمة للمصطلحات التقنية المستعصية لغوياً وللاستعانة بها في تعريب تقنيات ومجالات أخرى مستقبلا.",قيد العمل 💪🏻,متوقف صيانته 😑,https://mokhnache.com/,٩ نوفمبر ٢٠٢٤ ١:٢٥ ص,Omar Seifelnasr,Yes,,معجم
