Name,التقنيات,الرخصة,الكود المصدري,الوصف بالإنجليزية,الوصف بالعربية,حالة المشروع,روابط,مفتوح المصدر,نوع المبادرة,وسوم
othman,"Python, Search engine",رخصة وقف من أعجوبة,https://github.com/ojuba-org/othman,"Othman Electronic Quran is a display of the Quranic text as it was written during the time of Uthman ibn Affan, may Allah be pleased with him, with fully accurate diacritics.",مصحف عثمان الإلكتروني وهو عرض للنص القرآني كما كتب في عهد عثمان بن عفان رضي الله عنه مضبوطا ومشكولا,متوقف صيانته 😑,http://ojuba.org,Yes,"برنامج سطح المكتب 💻, تطبيق ويب",القرآن الكريم
Quran-App-Data,"Dataset, JSON, SQL",غير محددة,https://github.com/Mohamed-Nagdy/Quran-App-Data,"The ""Quran-App-Data"" project provides a comprehensive collection of data and resources for Quran applications and websites, including Hadith books in JSON format, complete JSON files for all Quranic Surahs, ordered images of all Quran pages, and JSON files containing all Azkar, the 99 names of Allah, and the names of Prophet Muhammad ﷺ.","يقدم مشروع ""Quran-App-Data"" مجموعة شاملة من البيانات والموارد لتطبيقات ومواقع القرآن الكريم، تشمل كتب الحديث بصيغة JSON، وملفات JSON لسور القرآن كاملة، وصور مرتبة لجميع صفحات المصحف، بالإضافة إلى ملفات JSON تحتوي على جميع الأذكار، وأسماء الله الحسنى، وأسماء النبي محمد ﷺ.",متوقف صيانته 😑,https://youtu.be/7VvlBOINfjQ?si=kNTGyNL-31xSs5df,Yes,"قاعدة بيانات, مصادر","أسماء الله الحسنى, أسماء النبي محمد ﷺ, الأذكار, الحديث النبوي, القرآن الكريم"
الْمُعْجَم الترددي لِلْحُرُوف الْعَرَبِيَّةِ فِي الْقُرْآنِ الْكَرِيمِ,"CSS, HTML, JavaScript, ReactJS",غير محددة,https://github.com/moroclash/Visualization-Of-Quran,"An open-source tool designed to visualize the frequencies of characters and words in the Quran. It allows users to apply multiple filters based on Surah, Ayah, and characters, with the ability to customize the character system according to their needs.",أداة مفتوحة المصدر تهدف إلى تصور ترددات الحروف والكلمات في القرآن الكريم. تتيح للمستخدمين تطبيق فلاتر متعددة بناءً على السورة، الآية، والحروف، مع إمكانية تخصيص نظام الحروف وفقًا لاحتياجاتهم.,متوقف صيانته 😑,https://moroclash.github.io/Visualization-Of-Quran/,Yes,تطبيق ويب,"القرآن الكريم, تكرار الحرف, تكرار الكلمة"
tarteel-ml,"Artificial intelligence, Dataset, Jupyter Notebook, Machine learning, Python, Speech recognition",MIT,https://github.com/TarteelAI/tarteel-ml,"An open-source project utilizing machine learning to recognize Quranic recitation through voice. The project aims to support the analysis and improvement of Quran recitation using AI, providing tools for verse recognition and error detection.",مشروع مفتوح المصدر يستخدم تقنيات تعلم الآلة للتعرف على تلاوة القرآن الكريم من خلال الصوت. يهدف المشروع لدعم تحليل وتحسين تلاوة القرآن باستخدام الذكاء الاصطناعي وتطوير أدوات للتعرف على الآيات والأخطاء.,ميت ☠️,https://tarteel.ai,Yes,سكريبت برمجي,القرآن الكريم
أفكار لمشاريع,لا يوجد,غير محددة,,A compilation of ideas and proposals for open-source software projects that serve the Arabic language and Islam.,قائمة ومجموعة من الأفكار والمقترحات لمشاريع برمجية مفتوحة المصدر تخدم اللغة العربية والإسلام.,نشط 🚀,https://github.com/KL13NT/AIUX,No,مصادر,"أفكار لمشاريع, مصادر, مقترحات"
Pray Times - حساب مواقيت الصلاة,"C#, C++, Java, JavaScript, Objective-C, PHP, Python",GNU LGPL,"http://praytimes.org/, https://github.com/zarrabi/praytime","An open-source project that provides accurate prayer times calculation worldwide. It includes various features to adjust prayer times based on geographic location and accommodates different Islamic schools of thought, with libraries available in multiple programming languages.",موقع http://praytimes.org/ هو مشروع مفتوح المصدر يقدم حسابات لمواقيت الصلاة للمسلمين حول العالم، ويشمل عدة ميزات لضبط أوقات الصلاة حسب المواقع الجغرافية المختلفة، مع مراعاة الفروق المذهبية المختلفة، ومتوفر مكتبات برمجية للغات مختلفة.,نشط 🚀,"https://github.com/zarrabi/praytime, https://github.com/abodehq/Pray-Times",Yes,مكتبة برمجية,مواقيت الصلاة 🕋
adhan.py مكتبة مواقيت الصلاة الإسلامية في بايثون,Python,GNU LGPL,https://github.com/hayalasalah/adhan.py,adhan.py is an open-source Python library for calculating accurate Islamic prayer times. It enables developers to retrieve prayer times based on geographic location and different Islamic jurisprudence preferences.,مكتبة Python مفتوحة المصدر لحساب أوقات الصلاة بدقة. تتيح للمطورين الوصول إلى مواقيت الصلاة وفقًا للموقع الجغرافي وتفضيلات المذاهب الإسلامية المختلفة.,ميت ☠️,https://pypi.org/project/adhan/,Yes,مكتبة برمجية,مواقيت الصلاة 🕋
Adhan,"C, C#, Dart, Golang, Java, JavaScript, Kotlin, Python, Rust, Swift",MIT,https://github.com/batoulapps/Adhan,Adhan is a well tested and well documented library for calculating Islamic prayer times implemented in different languages and platforms.,الأذان هو مكتبة مجربة وموثقة بشكل جيد لحساب أوقات الصلاة الإسلامية، وتم تنفيذها في لغات ومنصات مختلفة.,متوقف صيانته 😑,https://github.com/batoulapps/Adhan,Yes,مكتبة برمجية,"إسلام, تاريخ وزمن, مواقيت الصلاة 🕋"
salah,Rust,MIT,https://github.com/insha/salah,"An open-source library written in Rust for calculating Islamic prayer times. It offers accurate prayer times for any geographical location, considering the differences among Islamic schools of thought.",مكتبة مفتوحة المصدر مكتوبة بلغة Rust لحساب مواقيت الصلاة الإسلامية. توفر دقة في حساب أوقات الصلاة لجميع المواقع الجغرافية، مع مراعاة اختلافات المذاهب الإسلامية.,نشط 🚀,https://crates.io/crates/salah,Yes,مكتبة برمجية,مواقيت الصلاة 🕋
Masjid Times,"CSS, JavaScript, PHP",بدون ترخيص,https://github.com/meltuhamy/masjid-times,"An open-source prayer times application that provides accurate prayer times by utilizing data from the user's local mosque, along with support for prayer reminders.",تطبيق مفتوح المصدر لعرض مواقيت الصلاة، يهدف إلى توفير أوقات دقيقة للصلاة من خلال استخدام بيانات المسجد المحلي للمستخدم، مع دعم لإشعارات تذكير الصلاة.,ميت ☠️,http://meltuhamy.com/masjid-times/,Yes,تطبيق ويب,مواقيت الصلاة 🕋
تطبيق مواقيت الصلاة في بلفاست ولندن (Belfast Prayer Times),"Angular, Ionic, TypeScript",GPL-3.0 License,https://github.com/meltuhamy/belfastsalah,"A simple open-source prayer times application for Android and iOS users in Belfast and London. It displays daily prayer times with reminders for upcoming prayers, featuring a clean design and automatic night mode.",تطبيق بسيط مفتوح المصدر لمواقيت الصلاة مخصص لمستخدمي أندرويد وiOS في مدينتي بلفاست ولندن. يعرض أوقات الصلاة اليومية مع إمكانية التذكير بوقت الصلاة القادمة، ويتميز بتصميم بسيط ووضع ليلي تلقائي.,متوقف صيانته 😑,http://meltuhamy.com/apps/,Yes,"تطبيق iOS, تطبيق أندرويد",مواقيت الصلاة 🕋
Next Prayer,"C, C++, Linux, Python",GPL-3.0 License,https://github.com/AbdeltwabMF/nxprayer,"Islamic prayer reminder, for your status bar and/or scripts. It displays the next prayer time and sends a notification when it's time for a prayer. It also shows the remaining time until the next prayer",تطبيق تذكير بمواقيت الصلاة الإسلامية، مصمم ليعمل على شريط الحالة أو/و في السكربتات. يعرض وقت الصلاة القادمة ويرسل إشعارًا إذا حان وقت الصلاة. كما يعرض الوقت المتبقي حتى موعد الصلاة التالية,متوقف صيانته 😑,https://github.com/AbdeltwabMF/nxprayer,Yes,"CLI, برنامج سطح المكتب 💻",مواقيت الصلاة 🕋
Mosque Prayer Display Screen (شاشة عرض مواقيت الصلاة للمسجد),"Next.JS, Tailwind CSS, TypeScript",بدون ترخيص,https://github.com/MosqueOS/Mosque-Prayer-Display-Screen,An open-source application that allows mosques to display prayer times on screens for worshipers. It also functions as an offline progressive web app compatible with any modern web browser.,تطبيق مفتوح المصدر يتيح للمساجد عرض مواقيت الصلاة على شاشات للمصلين، ويعمل أيضًا كتطبيق ويب تقدمي يمكن استخدامه دون اتصال بالإنترنت على أي متصفح حديث.,نشط 🚀,"https://mosque-prayer-display-screen.vercel.app/, https://discord.gg/CG7frj2",Yes,تطبيق ويب,مواقيت الصلاة 🕋
Azkar - أذكار,"CSS, Java, JavaFX, SQLite",MIT,https://github.com/AbdelrahmanBayoumi/Azkar-App,"Desktop Application 💻 for Calculating Muslim prayer times 🕌 , Morning and Nights Azkar 🤲 with notification for random Azkar that pops-up in specific time.",برنامج لسطح المكتب 💻 يساعدك على: معرفة مواقيت الصلاة 🕌، قراءة أذكار الصباح و المساء مع التذكير بها 🤲، ظهور إشعارات بذكر او دعاء عشوائي كل فترة محددة 💬.,نشط 🚀,"https://azkar-site.web.app/, https://sourceforge.net/projects/azkar/",Yes,برنامج سطح المكتب 💻,"أذكار والمساء, الأذكار, مواقيت الصلاة 🕋"
مكتبة الأدوات الإسلامية ITL,"C, Java, Objective-C",GNU LGPL,https://github.com/arabeyes-org/ITL,"ITL (Islamic Tools Library) is an open-source library providing various Islamic computational tools, including prayer time calculations, Qibla direction determination, Hijri calendar functions, and other functionalities to support Islamic applications.",مكتبة ITL (Islamic Tools Library) هي مكتبة برمجية مفتوحة المصدر تقدم مجموعة من الأدوات الحسابية الإسلامية، بما في ذلك حساب مواقيت الصلاة، وتحديد اتجاه القبلة، والتقويم الهجري، والعديد من الوظائف الأخرى لدعم التطبيقات الإسلامية.,ميت ☠️,"https://github.com/fikr4n/itl-java, https://github.com/batoulapps/BAPrayerTimes, https://github.com/arabeyes-org/ITL-ports",Yes,مكتبة برمجية,"تحديد القبلة, حساب التاريخ الهجري, مواقيت الصلاة 🕋"
pyIslam - مكتبة إسلامية برمجية بلغة بايثون,Python,GNU LGPL,https://github.com/abougouffa/pyIslam,"pyIslam is an open-source Python library that provides tools for calculating prayer times, determining the Qibla direction, converting dates between Gregorian and Hijri, and calculating Zakat and inheritance (Mirath).",مكتبة pyIslam هي مكتبة برمجية مفتوحة المصدر بلغة بايثون تقدم أدوات لحساب أوقات الصلاة، تحديد اتجاه القبلة، تحويل التواريخ بين الميلادي والهجري، بالإضافة إلى حساب الزكاة والمواريث.,نشط 🚀,http://abougouffa.github.io/pyIslam,Yes,مكتبة برمجية,"التقويم الهجري, تحديد القبلة, حساب التاريخ الهجري, حساب الزكاة, حساب الميراث, مواقيت الصلاة 🕋"
Tanafaso,Flutter,mobile/LICENSE.md,https://github.com/challenge-azkar/tanafaso-frontend,A Flutter application for Muslims that help them challenge and motivate themselves and their friends to read Azkar in a fun way. On Play Store & On App Store There are a lot of ways you can contribute to this project.,تطبيق فلاتر يساعد المسلمين على تحدي وتحفيز أنفسهم وأصدقائهم لقراءة الأذكار بطريقة ممتعة,نشط 🚀,https://play.google.com/store/apps/details?id=com.tanafaso.azkar,Yes,"تطبيق iOS, تطبيق أندرويد","dart, mobile-app, flutter, azkar, muslim-app"
BoycottFrensh,JavaScript,Apache-2.0,https://github.com/AhmedAshrafAZ/BoycottFrench,"An extension that helps Muslims boycott French products on E-commerce websites. This is an extension that acts as a look-up of the top French brands, whenever the user opens a page of French product, the extension will automatically warn the user so he/she can look for alternatives.",إضافة متصفح تساعد المسلمين على مقاطعة المنتجات الفرنسية في مواقع التسوق الإلكتروني,ميت ☠️,https://github.com/AhmedAshrafAZ/BoycottFrench,Yes,إضافة متصفح,"مقاطعة, منتجات فرنسية, إضافة متصفح"
IslamBot,Python,GPL-3.0,https://github.com/galacticwarrior9/IslamBot,"A Discord bot that supports Qur'an, hadith, prayer times, tafsir and more.",بوت ديسكورد يدعم القرآن والحديث وأوقات الصلاة والتفسير وغيرها,نشط 🚀,https://github.com/galacticwarrior9/IslamBot,Yes,بوت,"discord-bot, quran, prayer-times, islam, hadith, tafsir"
Muslim-App (Daily Muslim's Fortress App),Java,بدون ترخيص,https://github.com/choubari/Muslim-App,The app is available only in Arabic but I'm planning to release an English version very soon. Prayer Times (of your current location) Morning&Evening Remembrance Remembrance Names of Allah Importance of Dhikr Tally Counter Qibla Direction Zakat Calculator Islamic Wallpapers Daily Notifications App Widget Light & Dark Themes and other features will be added on the next updates ...,تطبيق أندرويد إسلامي متكامل يشمل أوقات الصلاة، حصن المسلم، القبلة، ومواقيت الصلاة,ميت ☠️,https://play.google.com/store/apps/details?id=com.choubapp.muslimapp,Yes,تطبيق أندرويد,"notifications, android, java, playstore, tally-counter, prayer-times, muslim, allah, hacktoberfest, qibla, muslim-prayer-times, ramadan, muslims-prayer, qiblah-direction, muslim-app, remembrance, zakat-calculator, qibla-menu"
Iftar CLI,JavaScript,GPL-3.0,https://github.com/eneserdogan/iftar,Iftar CLI allows a quick and easy prayer times in the command line,أداة سطر أوامر تعرض مواقيت الإفطار والأذان,نشط 🚀,https://github.com/eneserdogan/iftar,Yes,CLI,مواقيت الصلاة 🕋
KhattSeen خطسين,تنضيد (Typesetting),بدون ترخيص,https://khatt.org/,KhattSeen: Arabic Mathematical Notation Typesetting System,خط سين: نظام تنضيد (كتابة) الرياضيات بالعربية Khatt.Seen: Arabic Mathematical Notation Typesetting System أدخل أوامر هنا: الصور الناتجة عن نظام خط.س مرخصة تحت الملكية العامة. Images rendered by Khatt.Seen are under public domain license.,متوقف صيانته 😑,https://khatt.org/,Yes,أداة تنضيد,"خط, دعم الرياضيات بالعربية"
MathJax Arabic Extension,"JavaScript, HTML, CSS, Makefile",MIT,https://github.com/OmarIthawi/arabic-mathjax,"This is an extension to MathJax (v2.5+), that provides basic Arabic support to MathJax. The extension so far only supports TeX input with HTML-CSS output. However, support to other input and output jaxes is possible. It provides the following: Flip the Equation and render it the Right-to-left (RTL) way!",إضافة لمكتبة MathJax توفر دعماً أساسياً للغة العربية في المعادلات الرياضية,نشط 🚀,https://arabicmath.org,Yes,إضافة برمجية,"i18n, web, math, l10n, mathjax, arabic"
mostalah مصطلح aosus-dictionary,"CSS, JavaScript, Vue",GPL-3.0 License,https://github.com/aosus/arabic-tech-dictionary/,Arabic technical terms dictionary providing English-Arabic translations for technology terminology,"يحتوي هذا المشروع على المصطلحات التقنية الإنجليزية وما يقابلها في اللغة العربية، وذلك بقصد المساعدة في تعريب التوثيقات الخاصة بكافة التقنيات المتعلقة بعلوم الحاسوب. قريبا : SQL, XML, HTML يعاني المحتوى العربي من نقص فادح خصوصا عندما يتعلق الأمر بمجال البرمجة وعلوم الحاسوب ولذلك ارتأينا أن نقوم بالمبادرة وأن نبدأ في توفير ترجمة للمصطلحات التقنية المستعصية لغوياً وللاستعانة بها في تعريب تقنيات ومجالات أخرى مستقبلا.",متوقف صيانته 😑,https://mokhnache.com/,Yes,قاموس / معجم,معجم
ArabTerm,ويب,بدون ترخيص,http://www.arabterm.org/,"The Technical Dictionary ARABTERM.ORG is a joint publication of the Arab League Educational, Cultural and Scientific Organization (ALECSO) and the German Federal Ministry for Economic Cooperation and Development (BMZ).


It was developed as part of a regional project financed by BMZ that the Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) has been carrying out since 2008 in collaboration with the Goethe-Institut. It is an independent project based on the measures for standardising technical Arabic terminology, which are being led by the Arabisation Coordination Bureau (BCA) in Rabat on behalf of ALECSO.


These standardisation measures are governed by the decisions made at the General Conferences on Arabisation, organised and held regularly by ALECSO, and attended by language academies and education ministers from Arab League member states. These measures also have been reflected in the 'standardised dictionary' published by ALECSO. In ARABTERM, an asterisk marks each entry that has already undergone this Arabisation process.


The Technical Dictionary ARABTERM, organised per industry sector, provides a generally accessible reference for the consistent translation of textbooks, curricula, technical manuals and other specialised texts. The first volume on automotive engineering was released in May 2010 and is available on this website to all users free of charge. Additional volumes will be added successively.


Users are encouraged to actively contribute to the dictionary. An interactive discussion forum offers you the opportunity to exchange ideas on linguistic problem areas in the various disciplines, as well as suggest new terms or more detailed definitions. These discussions and suggestions will provide the basis for an annual revision of the databank conducted by the Arab-German expert groups.",المعجم التقني الموحد الصادر عن المنظمة العربية للتربية والثقافة والعلوم (الألكسو),متوقف صيانته 😑,http://www.arabterm.org/,Yes,قاموس / معجم,معجم
i18n,JavaScript,"Apache License 2.0, ISC License, MIT",https://github.com/softvenue/i18n,internationalize projects to Arabic,نبراس، هو دليل موجه إلى طلبة السنة الأولى للشعب التقنية بالجامعة، ويحتوي على أهم المصطلحات والمفردات الي يصادفها في البرنامج الدراسي خلال هذه السنة المهمة. ويحوي هذا المعجم على أزيد من 2160 مصطلح، نحاول بها أن نغطي مجالات الشعب التقنية في السنة الأولى جامعي.,نشط 🚀,https://i18n.softvenue.net,Yes,فريق مبادر,معجم
معجم المصطلحات التقنية العربية,Markdown,غير محدد,https://github.com/forabi/arabic-tech-terminology,"Arabic Technical Terminology is an open-source project that provides accurate Arabic translations for technical terms in programming and technology. It includes a glossary of English terms with Arabic equivalents, supporting translators and developers in selecting appropriate terminology. The project encourages community contributions for enhancement.",معجم المصطلحات التقنية العربية هو مشروع مفتوح المصدر يهدف إلى توفير ترجمة عربية دقيقة للمصطلحات التقنية في البرمجة والتكنولوجيا. يحتوي المعجم على قائمة بالمصطلحات الإنجليزية مع ترجماتها العربية، ويساعد المترجمين والمطورين في اختيار المصطلحات المناسبة. يشجع المشروع على المشاركة المجتمعية لتحسين المعجم.,ميت ☠️,https://github.com/forabi/arabic-tech-terminology,Yes,مستندات ووثائق,"اللغة عربية, توثيقات, معجم"
نبراس هو قاموس فرنسي-عربي,"C++, TypeScript",غير محدد,https://github.com/01walid/Nibras,"Nibras is a French-Arabic dictionary tailored for first-year university students in technical fields. The dictionary contains over 2,160 terms covering various topics in the first-year curriculum. The project aims to help Arabic-speaking students understand and absorb technical terminology more easily.",نبراس هو قاموس فرنسي-عربي مخصص لطلبة السنة الأولى في التخصصات التقنية الجامعية. يحتوي القاموس على أكثر من 2160 مصطلحًا يغطي مجالات متعددة ضمن المناهج الدراسية للسنة الأولى. يهدف المشروع إلى تسهيل فهم واستيعاب المصطلحات التقنية للطلاب الناطقين بالعربية.,ميت ☠️,https://nibras.sourceforge.net,Yes,"برنامج سطح المكتب 💻, قاموس","اللغة عربية, تعليم, معجم"
جافاسكريبت بالعربية,JavaScript,MIT,https://github.com/arabi-js/arabi,"JavaScript in Arabic is an open-source library that enables Arab developers to write code using Arabic syntax in the JavaScript environment. The project provides tools for converting Arabic-written code into native JavaScript, along with localization tools to simplify coding with Arabic terms. It supports the translation of various core JavaScript functions and includes educational examples for developers to get started.",مشروع جافاسكريبت بالعربية هو مكتبة مفتوحة المصدر تهدف إلى تمكين المطورين العرب من كتابة التعليمات البرمجية باستخدام اللغة العربية في بيئة جافاسكريبت. يتيح المشروع تحويل الكود البرمجي المكتوب بالعربية إلى جافاسكريبت الأصلية، مع توفير أدوات تعريب تساعد على تسهيل البرمجة باستخدام مصطلحات عربية. يتميز المشروع بدعم التعريب للعديد من وظائف جافاسكريبت الأساسية، ويشمل أمثلة تعليمية لمساعدة المطورين في البدء.,متوقف صيانته 😑,https://github.com/arabi-js/,Yes,لغة برمجة,لغة برمجة عربية
لغة ألف,C++,GPL-3.0 License,https://github.com/alifcommunity/Alif,"Alif is an open-source Arabic programming language designed to enable developers to write code in Arabic. It emphasizes clarity and execution speed, supports object-oriented programming concepts, and provides an integrated development environment for users.",لغة البرمجة ألف هي لغة برمجة عربية مفتوحة المصدر، تهدف إلى تمكين المبرمجين من كتابة التعليمات البرمجية باللغة العربية. تتميز اللغة بالوضوح وسرعة التنفيذ، وتدعم مفاهيم البرمجة الكائنية، مع توفير بيئة تطوير متكاملة للمستخدمين.,نشط 🚀,https://www.aliflang.org,Yes,لغة برمجة,لغة برمجة عربية
